url	title	#	Name	Symbol	Market Cap	Price	Circulating Supply	Volume (24h)	% 1h	% 24h	% 7d
https:/coinmarketcap.com/historical/20190105	04 January 2019	14	Binance Coin	BNB	$793,368,779	$6.07	130,799,308 BNB *	$30,340,637	0.12%	0.11%	2.92%	
https:/coinmarketcap.com/historical/20190112	11 January 2019	13	Binance Coin	BNB	$781,782,829	$5.98	130,799,308 BNB *	$32,654,874	0.10%	-1.06%	-1.67%	
https:/coinmarketcap.com/historical/20190119	18 January 2019	13	Binance Coin	BNB	$857,137,442	$6.64	129,175,490 BNB *	$46,981,638	-0.48%	1.49%	11.22%	
https:/coinmarketcap.com/historical/20190126	25 January 2019	12	Binance Coin	BNB	$905,076,469	$7.01	129,175,490 BNB *	$48,498,979	0.01%	4.32%	5.07%	
https:/coinmarketcap.com/historical/20190202	01 February 2019	12	Binance Coin	BNB	$890,238,048	$6.89	129,175,490 BNB *	$56,627,089	1.41%	5.06%	-1.13%	
https:/coinmarketcap.com/historical/20190209	08 February 2019	10	Binance Coin	BNB	$1,252,418,196	$8.87	141,175,490 BNB *	$106,420,119	1.10%	3.59%	29.73%	
https:/coinmarketcap.com/historical/20190216	15 February 2019	10	Binance Coin	BNB	$1,288,826,514	$9.13	141,175,490 BNB *	$65,705,040	0.05%	-1.77%	2.33%	
https:/coinmarketcap.com/historical/20190223	22 February 2019	10	Binance Coin	BNB	$1,522,126,090	$10.78	141,175,490 BNB *	$81,628,102	-0.35%	-0.03%	18.42%	
https:/coinmarketcap.com/historical/20190302	01 March 2019	8	Binance Coin	BNB	$1,675,716,941	$11.87	141,175,490 BNB *	$120,807,894	0.53%	3.82%	9.62%	
https:/coinmarketcap.com/historical/20190309	08 March 2019	7	Binance Coin	BNB	$2,056,345,113	$14.57	141,175,490 BNB *	$160,640,089	0.50%	2.91%	24.49%	
https:/coinmarketcap.com/historical/20190316	15 March 2019	7	Binance Coin	BNB	$2,275,609,084	$16.12	141,175,490 BNB *	$143,423,670	0.29%	6.59%	10.80%	
https:/coinmarketcap.com/historical/20190323	22 March 2019	7	Binance Coin	BNB	$2,150,949,042	$15.24	141,175,490 BNB *	$143,128,548	0.44%	-0.02%	-4.35%	
https:/coinmarketcap.com/historical/20190330	29 March 2019	7	Binance Coin	BNB	$2,390,413,470	$16.93	141,175,490 BNB *	$182,021,376	0.83%	2.97%	12.03%	
https:/coinmarketcap.com/historical/20190406	05 April 2019	7	Binance Coin	BNB	$2,698,658,298	$19.12	141,175,490 BNB *	$155,317,547	0.00%	-1.27%	13.16%	
https:/coinmarketcap.com/historical/20190413	12 April 2019	7	Binance Coin	BNB	$2,642,776,671	$18.72	141,175,490 BNB *	$167,393,154	0.49%	1.88%	-2.10%	
https:/coinmarketcap.com/historical/20190420	19 April 2019	7	Binance Coin	BNB	$3,530,449,999	$25.01	141,175,490 BNB *	$311,312,466	0.66%	3.57%	34.39%	
https:/coinmarketcap.com/historical/20190427	26 April 2019	7	Binance Coin	BNB	$3,154,084,440	$22.34	141,175,490 BNB *	$205,615,716	-0.37%	-2.34%	-8.75%	
https:/coinmarketcap.com/historical/20190504	03 May 2019	7	Binance Coin	BNB	$3,230,777,423	$22.88	141,175,490 BNB *	$193,177,736	-0.30%	-3.42%	1.59%	
https:/coinmarketcap.com/historical/20190511	10 May 2019	7	Binance Coin	BNB	$2,971,665,277	$21.05	141,175,490 BNB *	$298,063,616	-2.04%	7.16%	-8.11%	
https:/coinmarketcap.com/historical/20190518	17 May 2019	7	Binance Coin	BNB	$4,008,931,116	$28.40	141,175,490 BNB *	$470,683,583	0.91%	11.50%	33.58%	
https:/coinmarketcap.com/historical/20190525	24 May 2019	7	Binance Coin	BNB	$4,948,638,864	$35.05	141,175,490 BNB *	$637,380,073	0.27%	3.48%	25.36%	
https:/coinmarketcap.com/historical/20190601	31 May 2019	7	Binance Coin	BNB	$4,660,718,181	$33.01	141,175,490 BNB *	$572,703,757	0.65%	1.27%	-4.55%	
https:/coinmarketcap.com/historical/20190608	07 June 2019	7	Binance Coin	BNB	$4,526,978,557	$32.07	141,175,490 BNB *	$428,041,268	-0.13%	1.02%	-2.48%	
https:/coinmarketcap.com/historical/20190615	14 June 2019	7	Binance Coin	BNB	$4,634,207,332	$32.83	141,175,490 BNB *	$489,033,316	-0.17%	0.15%	2.92%	
https:/coinmarketcap.com/historical/20190622	21 June 2019	7	Binance Coin	BNB	$5,336,399,154	$37.80	141,175,490 BNB *	$428,828,573	-0.18%	-1.87%	15.23%	
https:/coinmarketcap.com/historical/20190629	28 June 2019	7	Binance Coin	BNB	$4,991,980,477	$35.36	141,175,490 BNB *	$369,705,514	0.02%	2.84%	-6.91%	
https:/coinmarketcap.com/historical/20190706	05 July 2019	7	Binance Coin	BNB	$4,592,571,450	$32.53	141,175,490 BNB *	$187,247,411	-0.28%	-0.94%	-7.11%	
https:/coinmarketcap.com/historical/20190713	12 July 2019	6	Binance Coin	BNB	$4,448,006,685	$31.51	141,175,490 BNB *	$273,938,894	0.93%	-0.61%	-3.77%	
https:/coinmarketcap.com/historical/20190720	19 July 2019	6	Binance Coin	BNB	$4,801,767,338	$30.87	155,536,713 BNB *	$367,891,866	-0.67%	5.98%	-1.16%	
