url	title	#	Name	Symbol	Market Cap	Price	Circulating Supply	Volume (24h)	% 1h	% 24h	% 7d
https:/coinmarketcap.com/historical/20190603	02 June 2019	519	SwissBorg	CHSB	$4,316,576	$0.007496	575,821,133 CHSB *	$86,451	-1.47%	-14.37%	-25.20%	
https:/coinmarketcap.com/historical/20190604	03 June 2019	529	SwissBorg	CHSB	$4,155,817	$0.007217	575,821,133 CHSB *	$71,584	1.30%	-2.88%	-21.40%	
https:/coinmarketcap.com/historical/20190605	04 June 2019	503	SwissBorg	CHSB	$4,533,435	$0.007873	575,821,133 CHSB *	$90,287	-1.14%	9.42%	-12.40%	
https:/coinmarketcap.com/historical/20190606	05 June 2019	525	SwissBorg	CHSB	$4,318,098	$0.007499	575,821,133 CHSB *	$52,586	1.16%	-5.34%	-12.09%	
https:/coinmarketcap.com/historical/20190607	06 June 2019	526	SwissBorg	CHSB	$4,392,082	$0.007628	575,821,133 CHSB *	$41,764	-0.06%	2.47%	-11.58%	
https:/coinmarketcap.com/historical/20190608	07 June 2019	528	SwissBorg	CHSB	$4,286,503	$0.007444	575,821,133 CHSB *	$37,864	-0.67%	-2.39%	-18.36%	
https:/coinmarketcap.com/historical/20190609	08 June 2019	537	SwissBorg	CHSB	$4,057,631	$0.007047	575,821,133 CHSB *	$46,939	1.29%	-5.84%	-19.44%	
https:/coinmarketcap.com/historical/20190610	09 June 2019	537	SwissBorg	CHSB	$4,288,573	$0.007448	575,821,133 CHSB *	$34,371	0.51%	6.70%	-0.88%	
https:/coinmarketcap.com/historical/20190611	10 June 2019	536	SwissBorg	CHSB	$4,303,704	$0.007474	575,821,133 CHSB *	$32,801	-0.12%	0.56%	4.23%	
https:/coinmarketcap.com/historical/20190612	11 June 2019	518	SwissBorg	CHSB	$4,767,794	$0.008280	575,821,133 CHSB *	$43,644	0.88%	10.67%	5.39%	
https:/coinmarketcap.com/historical/20190613	12 June 2019	521	SwissBorg	CHSB	$4,648,797	$0.008073	575,821,133 CHSB *	$57,050	-0.65%	-2.11%	8.54%	
https:/coinmarketcap.com/historical/20190614	13 June 2019	488	SwissBorg	CHSB	$5,413,145	$0.009401	575,821,133 CHSB *	$67,581	0.60%	15.72%	23.53%	
https:/coinmarketcap.com/historical/20190615	14 June 2019	496	SwissBorg	CHSB	$5,197,076	$0.009026	575,821,133 CHSB *	$49,083	-0.63%	-2.18%	20.75%	
https:/coinmarketcap.com/historical/20190616	15 June 2019	510	SwissBorg	CHSB	$5,073,437	$0.008811	575,821,133 CHSB *	$48,819	-0.32%	-2.54%	25.37%	
https:/coinmarketcap.com/historical/20190617	16 June 2019	492	SwissBorg	CHSB	$5,035,609	$0.008745	575,821,133 CHSB *	$39,450	0.03%	-1.38%	17.98%	
https:/coinmarketcap.com/historical/20190618	17 June 2019	487	SwissBorg	CHSB	$5,055,986	$0.008780	575,821,133 CHSB *	$49,035	0.76%	0.83%	16.68%	
https:/coinmarketcap.com/historical/20190619	18 June 2019	497	SwissBorg	CHSB	$5,066,178	$0.008798	575,821,133 CHSB *	$23,725	0.27%	0.74%	6.89%	
https:/coinmarketcap.com/historical/20190620	19 June 2019	496	SwissBorg	CHSB	$5,084,256	$0.008830	575,821,133 CHSB *	$38,218	-0.41%	0.65%	8.40%	
https:/coinmarketcap.com/historical/20190621	20 June 2019	496	SwissBorg	CHSB	$5,397,040	$0.009373	575,821,133 CHSB *	$33,005	1.71%	5.60%	4.30%	
https:/coinmarketcap.com/historical/20190622	21 June 2019	490	SwissBorg	CHSB	$5,552,678	$0.009643	575,821,133 CHSB *	$44,245	2.20%	3.28%	5.90%	
https:/coinmarketcap.com/historical/20190623	22 June 2019	485	SwissBorg	CHSB	$5,532,473	$0.009608	575,821,133 CHSB *	$31,473	-0.85%	-0.31%	8.11%	
https:/coinmarketcap.com/historical/20190624	23 June 2019	495	SwissBorg	CHSB	$5,537,693	$0.009617	575,821,133 CHSB *	$34,086	0.35%	0.29%	10.93%	
https:/coinmarketcap.com/historical/20190625	24 June 2019	487	SwissBorg	CHSB	$5,997,020	$0.010415	575,821,133 CHSB *	$39,843	1.33%	7.90%	18.92%	
https:/coinmarketcap.com/historical/20190626	25 June 2019	502	SwissBorg	CHSB	$5,516,872	$0.009581	575,821,133 CHSB *	$59,617	1.63%	-7.39%	9.35%	
https:/coinmarketcap.com/historical/20190627	26 June 2019	509	SwissBorg	CHSB	$4,687,962	$0.008141	575,821,133 CHSB *	$56,367	0.04%	-14.41%	-8.54%	
https:/coinmarketcap.com/historical/20190628	27 June 2019	526	SwissBorg	CHSB	$4,656,129	$0.008086	575,821,133 CHSB *	$63,280	1.41%	-0.76%	-14.87%	
https:/coinmarketcap.com/historical/20190629	28 June 2019	517	SwissBorg	CHSB	$4,829,032	$0.008386	575,821,133 CHSB *	$48,897	2.76%	5.01%	-12.92%	
https:/coinmarketcap.com/historical/20190630	29 June 2019	528	SwissBorg	CHSB	$4,099,266	$0.007119	575,821,133 CHSB *	$33,210	-1.16%	-14.40%	-25.98%	
https:/coinmarketcap.com/historical/20190701	30 June 2019	533	SwissBorg	CHSB	$4,346,195	$0.007548	575,821,133 CHSB *	$40,345	1.00%	4.37%	-21.91%	
https:/coinmarketcap.com/historical/20190702	01 July 2019	529	SwissBorg	CHSB	$4,403,353	$0.007647	575,821,133 CHSB *	$37,790	-0.25%	1.49%	-25.52%	
https:/coinmarketcap.com/historical/20190703	02 July 2019	523	SwissBorg	CHSB	$4,735,713	$0.008224	575,821,133 CHSB *	$39,680	0.26%	6.37%	-15.02%	
https:/coinmarketcap.com/historical/20190704	03 July 2019	536	SwissBorg	CHSB	$4,281,466	$0.007435	575,821,133 CHSB *	$39,443	-2.94%	-9.48%	-7.63%	
https:/coinmarketcap.com/historical/20190705	04 July 2019	518	SwissBorg	CHSB	$4,676,371	$0.008121	575,821,133 CHSB *	$45,139	0.57%	8.47%	2.37%	
https:/coinmarketcap.com/historical/20190706	05 July 2019	501	SwissBorg	CHSB	$4,787,125	$0.008314	575,821,133 CHSB *	$47,080	-0.22%	2.14%	2.02%	
https:/coinmarketcap.com/historical/20190707	06 July 2019	507	SwissBorg	CHSB	$5,001,608	$0.008686	575,821,133 CHSB *	$49,360	0.03%	4.26%	17.48%	
https:/coinmarketcap.com/historical/20190708	07 July 2019	520	SwissBorg	CHSB	$5,104,962	$0.008866	575,821,133 CHSB *	$49,443	-0.39%	1.98%	20.99%	
https:/coinmarketcap.com/historical/20190709	08 July 2019	532	SwissBorg	CHSB	$4,677,252	$0.008123	575,821,133 CHSB *	$74,343	-0.31%	-8.62%	4.97%	
https:/coinmarketcap.com/historical/20190710	09 July 2019	551	SwissBorg	CHSB	$3,995,567	$0.006939	575,821,133 CHSB *	$49,902	-1.08%	-14.11%	-14.10%	
https:/coinmarketcap.com/historical/20190711	10 July 2019	528	SwissBorg	CHSB	$4,163,368	$0.007230	575,821,133 CHSB *	$48,083	-0.53%	3.31%	-4.07%	
https:/coinmarketcap.com/historical/20190712	11 July 2019	545	SwissBorg	CHSB	$3,769,241	$0.006546	575,821,133 CHSB *	$36,459	-1.86%	-9.68%	-18.49%	
https:/coinmarketcap.com/historical/20190713	12 July 2019	544	SwissBorg	CHSB	$3,693,535	$0.006414	575,821,133 CHSB *	$41,557	0.37%	-2.83%	-23.57%	
https:/coinmarketcap.com/historical/20190714	13 July 2019	545	SwissBorg	CHSB	$3,401,499	$0.005907	575,821,133 CHSB *	$33,375	-3.77%	-7.86%	-31.58%	
https:/coinmarketcap.com/historical/20190715	14 July 2019	547	SwissBorg	CHSB	$3,578,135	$0.006214	575,821,133 CHSB *	$31,269	-1.00%	4.90%	-30.06%	
https:/coinmarketcap.com/historical/20190716	15 July 2019	538	SwissBorg	CHSB	$3,186,066	$0.005533	575,821,133 CHSB *	$25,785	0.31%	-11.27%	-30.78%	
