url	title	row	#	Name	Symbol	Market Cap	Price	Circulating Supply	Volume (24h)	% 1h	% 24h	% 7d
https:/coinmarketcap.com/historical/20200602	01 June 2020	215	SwissBorg	CHSB	$21,614,637	$0.030664	704,880,233 CHSB *	$201,223	-0.83%	-1.07%	7.54%	
https:/coinmarketcap.com/historical/20200601	31 May 2020	216	SwissBorg	CHSB	$21,868,710	$0.031025	704,880,233 CHSB *	$148,188	2.07%	5.27%	9.28%	
https:/coinmarketcap.com/historical/20200531	30 April 2020	216	SwissBorg	CHSB	$20,835,525	$0.029559	704,880,233 CHSB *	$126,076	0.67%	-2.71%	4.06%	
https:/coinmarketcap.com/historical/20200530	29 May 2020	216	SwissBorg	CHSB	$21,446,353	$0.030426	704,880,233 CHSB *	$116,611	-0.09%	0.98%	2.39%	
https:/coinmarketcap.com/historical/20200529	28 May 2020	215	SwissBorg	CHSB	$21,232,238	$0.030122	704,880,233 CHSB *	$114,534	-0.18%	0.31%	2.98%	
https:/coinmarketcap.com/historical/20200528	27 May 2020	216	SwissBorg	CHSB	$20,952,270	$0.029725	704,880,233 CHSB *	$119,104	-0.53%	1.50%	6.63%	
https:/coinmarketcap.com/historical/20200527	26 May 2020	215	SwissBorg	CHSB	$20,715,861	$0.029389	704,880,233 CHSB *	$115,668	0.81%	3.06%	1.81%	
https:/coinmarketcap.com/historical/20200526	25 May 2020	215	SwissBorg	CHSB	$20,081,593	$0.028506	704,478,768 CHSB *	$75,331	-0.03%	0.37%	-1.66%	
https:/coinmarketcap.com/historical/20200525	24 May 2020	212	SwissBorg	CHSB	$20,087,707	$0.028523	704,253,768 CHSB *	$120,463	0.35%	1.86%	-0.76%	
https:/coinmarketcap.com/historical/20200524	23 May 2020	211	SwissBorg	CHSB	$19,425,803	$0.027584	704,253,768 CHSB *	$98,625	-3.62%	-7.32%	-3.86%	
https:/coinmarketcap.com/historical/20200523	22 May 2020	208	SwissBorg	CHSB	$21,015,684	$0.029841	704,253,768 CHSB *	$146,094	0.28%	0.76%	6.21%	
https:/coinmarketcap.com/historical/20200522	21 May 2020	207	SwissBorg	CHSB	$21,016,244	$0.029842	704,253,768 CHSB *	$122,362	0.51%	6.25%	6.37%	
https:/coinmarketcap.com/historical/20200521	20 May 2020	208	SwissBorg	CHSB	$19,705,640	$0.027981	704,253,768 CHSB *	$128,039	-0.68%	-2.55%	-1.73%	
https:/coinmarketcap.com/historical/20200520	19 May 2020	203	SwissBorg	CHSB	$20,144,386	$0.028604	704,253,768 CHSB *	$149,080	-1.04%	-1.61%	1.58%	
https:/coinmarketcap.com/historical/20200519	18 May 2020	201	SwissBorg	CHSB	$20,477,946	$0.029078	704,253,768 CHSB *	$124,521	0.34%	0.90%	13.09%	
https:/coinmarketcap.com/historical/20200518	17 May 2020	198	SwissBorg	CHSB	$20,300,836	$0.028826	704,253,768 CHSB *	$167,444	-0.51%	1.27%	33.86%	
https:/coinmarketcap.com/historical/20200517	16 May 2020	197	SwissBorg	CHSB	$20,057,743	$0.028481	704,253,768 CHSB *	$133,557	-0.07%	1.33%	37.28%	
https:/coinmarketcap.com/historical/20200516	15 May 2020	195	SwissBorg	CHSB	$19,780,150	$0.028087	704,253,768 CHSB *	$121,288	0.11%	1.12%	27.12%	
https:/coinmarketcap.com/historical/20200515	14 May 2020	197	SwissBorg	CHSB	$19,583,951	$0.027808	704,253,768 CHSB *	$264,136	-0.87%	-2.31%	12.53%	
https:/coinmarketcap.com/historical/20200514	13 May 2020	201	SwissBorg	CHSB	$20,121,731	$0.028572	704,253,768 CHSB *	$237,996	-0.03%	1.44%	30.86%	
